GID,D̩partement,Animals given as gift,Animals given for caretaking,Animals got as gift,Animals got for caretaking,Born Animals,Bought Animals,Dead Animals,Live animals,Slaughtered animals,Sold Animals,Stolen Animals,Total Input,Total Output
HTI.1_1,Centre,0,0,0,0,2045.7125,1151.63125,1302.183333,10811.05476,0,244.9411765,0,3197.34375,1547.12451
HTI.10_1,Sud,0,0,0,13.22222222,2291.663753,55.03703703,915.567787,25878.6928,0,463.8941799,0,2359.923012,1379.461967
HTI.2_1,Grande Anse,0,0,0,0,486.9375,1787.45,0,4526.372917,0,0,0,2274.3875,0
HTI.3_1,Artibonite,0,2435.52,0,0,2899.359899,1512.355769,2894.749243,48450.31256,0,2490.52,1.25,4411.715668,7822.039243
HTI.4_1,Nippes,0,4.333333333,0,1025.159524,2278.509664,419.5714285,1069.833333,23516.60297,0,957.7023809,0,3723.240616,2031.869048
HTI.5_1,Nord Est,0,0,0,1210,1638.109524,605.0000001,252.7142857,13556.89152,138.8571429,539.3666667,0,3453.109524,930.9380953
HTI.6_1,Nord Ouest,0,0,0,737.7222222,6641.837037,4719.2,4514.033333,55838.17328,0,2153.766667,62.6,12098.75926,6730.4
HTI.7_1,Nord,0,0,0,0,1755.594445,0,69.66666668,11273.8746,0,340.7500001,0,1755.594445,410.4166667
HTI.8_1,Ouest,0,639.9692307,0,0,5836.698534,6020.942915,4032.272894,89911.20602,0,6107.528205,391.1,11857.64145,11170.87033
HTI.9_1,Sud Est,0,718.8229666,413.6326531,1090.8,8863.672329,877.1910947,4972.720876,47247.98316,0,368.3205742,0,11245.29608,6059.864417